id;documento
11;"Cage interpreta um bêbado e é elogiado pela crítica. Elizabeth Shue Na verdade, tem que fazer um amor com a parte mais desprezível e superestimada de estrume em Hollywood. Eu literalmente vomitei enquanto assistia a esse filme. Claro que tive gripe, mas isso não significa que este filme não tenha contribuído para o vômito no kamode. Por que Nick Cage não pode tocar em algo que ele pode realmente fazer como um ator ruim? Nick Cage, que é brilhante em um papel de mau ator. Parreira ninguém poderia fazer melhor. A busca começa por Nicks contrato com Lúcifer ou Lou Cipher de ""Night Train To Terror""."
12;Primeiro de tudo, eu gostaria de dizer que sou fã de todos os atores que aparecem neste filme e na época que eu aluguei, eu queria gostar. Acho que a principal razão pela qual eu estava tão desapontado foi que o camarote exterior me prometeu um thriller de suspense. Aos meus olhos, um thriller de suspense para filmes britânicos é como algo saído de um romance de Ruth Rendell, algo que tem muitas mudanças e reviravoltas obscuras e deixa o espectador com um final que provavelmente não será esquecido tão cedo.Este filme começou com a nota promissora de ser tal filme. Nós temos o nosso personagem principal, que suspeita de um homem que ele não gosta, de estar envolvido em um ataque e execução que matou o marido de um de seus servos. Suas noções provam estar certas, mas a ideia de que sua esposa pode estar envolvida , não lhe ocorre até que ela confesse a ele que ela era uma parte do crime.Os elementos de um suspense de suspense bom estavam em lugar, neste momento, mas de lá, eu sentia que o filme tomou uma direção diferente e tornou-se quase uma espécie de novela sobre quem quer estar com quem e o que é o amor de um relacionamento real. O filme poderia ter sido agradável para mim, se a caixa externa tivesse falado de um triângulo de amantes retorcidos e não tivesse sido rotulada como thriller de suspense. Isso parecia ser mais uma história de novela e o cenário inicial parecia ser uma leve distração para o verdadeiro conteúdo do filme. Eu senti que este filme poderia ter feito muito melhor do que isso. Eu senti como se continuasse levando o espectador para um grande evento que nunca se concretizou. Então, eu tenho que dar uma classificação mais baixa do que eu teria gostado e dizer que ficou aquém das minhas expectativas.
13;Então me diga - que boozer sério bebe a Budweiser? Quantos bebedores obcecados por suicidas abrigam uma gama de bebidas totalmente abastecida e mal tocada em seu quarto de motel solitário, que um bar de bacharel playboys milionário teria orgulho de ostentar? E que tipo de alcoólatra tende a beber com a garrafa a cerca de 20 centímetros de sua boca faminta, de modo que o conteúdo geralmente se espalha por todo o rosto? Para não mencionar o desperdício de uísque bom por dousing suas namoradas mamas com ele, apenas para o público de cinema pode obter um bom olho de ativos de Elisabeth Shues.Cage parece estar retratando o alcoólatra look-at-me mais atenção-seeking sempre ter agraciado o tela enquanto Shue se parece mais com uma palhaçada de Berkely por um verão do que com um experiente street-walker. Ela é humilhada e subjugada tantas vezes quanto possível neste filme revoltante com espancamentos, lacerações de pele, estupro anal e abuso verbal gráfico - tudo isso completamente implausível e incluído aparentemente apenas para transmitir uma sensação de seu estado terrivelmente degradado e oferecer aos espectadores masculinos um surpreendentemente clichê fantasia sexual sentimental do tart-com-um-coração.Ainda - eu assisti-lo até o fim, altura em que eu estava realmente a rir em voz alta como Shues prostituta rua difícil picada cenouras na cozinha wanly, pateticamente sorridente enquanto Cage - todos os olhos estalando e tremendo como um homem operando uma perfuratriz num terremoto - fez uma careta e assaltou a meia hora final ...
14;Uma grande decepção para o que foi apresentado como um filme incrível. Incrivelmente ruim. Muito pretensioso. Seria bom se apenas uma vez alguém criasse um papel importante para uma jovem que não fosse uma prostituta. Nós realmente não aprendemos nada sobre esse personagem, exceto que ele parece ser um alcoólatra sem esperança. Nós não sabemos porque. Nicholas Cage faz um excelente desempenho como sempre, mas eu sinto que esse papel e esse roteiro o decepcionaram. E como, depois de não poder se apresentar para o filme todo, ele pode ter uma ereção em seu leito de morte? Realmente terrível e eu senti que precisava de um banho.
15;Este filme é absolutamente terrível e horrível. Não é um orçamento baixo, é um filme sem orçamento que faz com que os filmes de Ed Woods pareçam arte. A atuação é péssima, mas sets e adereços são piores do que qualquer coisa que eu já vi. Um trem de metrô comum é usado para transportar pessoas para a zona do mal de mutantes assassinos, Woddy Strode tem uma bala e as cenas de luta são disparadas em um poço de cascalho em desuso. Há sadismo como você esperaria de um vídeo italiano dos anos 80 desagradável. Nenhum talento foi usado para fazer este filme. E o interesse amoroso do sexo feminino tem um enorme sabor bunda- italiano talvez. Mesmo para os padrões italianos dos anos 80, esse filme é muito ruim, mas eu acho que foi lançado em um momento em que não havia tantos filmes disponíveis em vídeo ou os espectadores não estavam muito perspicazes. Este pedaço de porcaria não tem qualquer valor de entretenimento e nem sequer é engraçado, apenas chato e extremamente barato. É realmente e insultar o público mais estúpido. Eu só me pergunto como na terra um ator como Woody Strode acabou em um peru como este?
16;Heres um decididamente médio post italiano apocalíptico assumir a caça / matar seres humanos para o tema do esporte ala The Most Dangerous Game, Turkey Shoot, Gymkata e The Running Man.Certainly o filme revisto aqui é longe de ser tão divertido quanto as outras entradas listadas e é Além disso, arrastado para baixo por voz pobre sobre o trabalho, seqüências de ação geralmente branda, um número de cenas totalmente sem gosto, como uma seqüência prolongada de estupro e alguns pontos verdadeiramente estúpidos e ilógicos por toda parte.Tome, por exemplo, no final do filme, quando o nosso herói consegue infiltrar o composto dos vilões. Ele inicialmente mata um sentinela e deixa-o em seu jipe. Após a descoberta do dito cadáver, a resposta dos vilões? tendo em conta que o nosso herói chegou a assassinar todos eles brutalmente? Eles resolvem esperar até a manhã seguinte para procurar o culpado !!!!!!!!!! No entanto, eu suponho que seja justo o filme permanece, no entanto, sobre assistível se você pode suspender sua descrença durante tais cenas estúpidas e se beneficiar imensamente pela presença do sempre excelente Woody Strode, mesmo que seu tempo na tela seja muito limitado. Não é um clássico por qualquer extensão da imaginação, mas ainda assim merecedor de um relógio para os entusiastas italianos do B-Movie.
17;Na parte inferior da escala de filmes do apocalipse está este pedaço de pish chamado The Final Executioner .. pelo menos de onde eu venho. Um cara é treinado por um ex-policial para se vingar daqueles que mataram sua mulher e amigos a sangue frio ... e é isso. Muitas explosões falsas e tiroteios repetitivos acontecem. Tem um dos trajes mais estranhos que eu já vi em um filme por um tempo, e uma enorme fortaleza que aparentemente é dirigida por apenas 7 pessoas. Ótimo trabalho na dublagem também galera! Melhor momento: quando nosso herói perde uma luta de espadas e está prestes a ser espetado no pescoço, ele apenas pega sua arma e BANG! Por que não fazer isso antes? É um mistério. É por isso que alguém iria querer sentar com isso em primeiro lugar. Eu ainda estou intrigado com isso agora .. 2/10
18;A terra foi destruída em um holocausto nuclear. Bem, partes da Terra, porque em algum lugar na Itália, um bando de sobreviventes de raça pura - aqueles sem contaminação radioativa - estão escondidos em uma enorme mansão cercada por jardins exuberantes, esperando pela próxima oportunidade de caçar aqueles com sangue poluído. . The Final Executioner é a história de um deles seria vítima, Alan William Mang, que parece, não surpreendentemente, muito parecido com Kurt Russell, e seus esforços para derrubar os caçadores legalmente sancionados, que são liderados por Edra Marina Costa e Erasmus. Harrison Muller Jr. Alan foi treinado para matar pelo ex-policial da NYPD, Sam Woody Strode, que fica mais tempo dando apoio moral a seus pupilos e dando carne enlatada. Strode é de longe a melhor coisa sobre o filme, embora ele não pareça muito bem e só apareça por cerca de um terço do tempo de execução. Quanto à história, é uma mistura de elementos de melhores filmes e histórias, incluindo Dez Pequenos Índios, The Most Dangerous Game e Escape From New York. O executor final se movimenta a um ritmo razoável e oferece entretenimento razoável para os fãs de ação menos discriminadores.
19;Muitas pessoas estão em pé na frente da casa n algumas mulheres estão chorando ... Homens de pé em grupos próximos e falando em tom abafado ... um casal de caras entrar e eles estão discutindo o quão sexy a filha pode parecer hoje .. em breve você vai saber que alguém na casa morreu ... A esposa morta está preocupada em preparar comida para tantas pessoas, a amiga sentada ao lado dela dá uma idéia de facilitar as coisas preparando simples roti sabji ... do filho de pessoas mortas está falando com alguém sobre o celular, Filha está ocupada com sua maquiagem ... sua mãe sugere que ela use kameej, mas a filha está mais interessada em parecer bem quando tantas pessoas estarão visitando sua casa e por isso prefere jeans e camiseta sobre salwar kameez ... outro filho pede que sua mãe termine todos os kriyas e também indica a ela que ele não deve vir cedo do escritório ... Então a câmera foca lentamente os mortos pessoa ... o pano branco cobrindo o rosto é d é ligeiramente deslocado devido ao vento, revelando o rosto ... Sua Anupam Kher ... de repente, o alarme toca e ele se levanta da cama ... É seu sonho ou um flashback? U não vai ter uma resposta até o final do filme ... Bem, isso é comédia de wat é para o diretor Dibakar Banerjee !!!!! Mais tarde, você descobre que esta cena não tem nada a ver com o filme real e, portanto, tornar tudo óbvio que o ainda descrito anteriormente era um sonho. Isto é uma comédia de cinema? Bem, é suposto que pertence a essa categoria ... Mas na verdade não faz !!! não há nada que possa ser remotamente associado à comédia no filme !!! Mais sobre o diretor dá a mensagem de que ninguém vai conseguir justiça da polícia !!! então todos devem enganar as fraudes !!!! ou esquecer a justiça !!!! Música de Bapi-Tutul e Dhruv Dhalla é OK ... Nada muito a dizer sobre outros setores ... Roteiro ruim destrói tudo ... nem mesmo o desempenho do Anupam Khers consegue fazer com que pelo menos um vasool paisa ...
20;"A família de Nova York é a última em seu bairro a conseguir um aparelho de televisão, o que quase arruína o casamento de David Nivens com Mitzi Gaynor. Comédia de quarto que raramente arrisca no bedroomand nada sexy acontece lá de qualquer maneira. Gaynor como atriz tem tanto alcance quanto um forno - ela liga, desliga. A única compensação dos filmes é uma performance de apoio da empolgada Patty Duke, pré- ""Miracle Worker"", como filha de Nivens. Ela é deliciosa; ""Feliz Aniversário"" não é. a partir de"
21;"A melhor coisa sobre ""The Prey"" é o slogan ... ""Não é humano e tem um machado""! O filme em si é um stinkaroo acolchoado ... intermináveis ​​fotos de insetos e vida selvagem fazem o espectador querer morrer! Nenhum fã de slasher vai gostar desse lixo ..... Assista ""Friday the 13th"" novamente e grave qualquer cópia deste filme que você encontrar! Também é considerado um dos 25 piores filmes já feitos!"
22;"Isto é verdadeiramente, sem exagerar, um dos piores filmes de Slasher já feitos. Eu sei, saiu nos anos 80 seguindo uma tendência iniciada por ""Friday the 13th"". ""The Prey"" copia o filme mencionado em vários aspectos. O cenário das florestas, o assassino, os adolescentes burros, o sangue, etc. Mas ""A Presa"" é tão ruim quanto você poderia esperar. Eu nem me lembro sobre isso, se não fosse por coincidência. Bem, o assassino é de fato humano, então não espere um assassino sobrenatural nos gostos de Jason. As situações são bastante chatas e falta de tensão, sangue, violência, etc. Ele simplesmente não funciona para um filme de terror. A atuação é simplesmente horrível. A pontuação é horrível! uma combinação de instrumentos chatos com melodias 80s de queijo ?! Eu nem vou mencionar os aspectos técnicos do filme, porque acredite em mim, parece que custou apenas 20 dólares.Por favor, evite esse como a peste. É um dos piores filmes que eu já vi, e isso é algo a dizer. Graças a Deus parece ter desaparecido da terra."
23;"Sou um grande fã de Emily Watson, Breaking The Waves e Tom Wilkinson Normal, e me diverti ao vê-los sendo ofuscados por Rupert Everett Dellamorte Dellamore neste filme chocantemente pequeno que teve todos os ingredientes para ser muito mais. As cenas muito breves em que ele retrata um filho lânguido, infinitamente direito, sem valor, de um Lorde rico são autênticas e divertidas. Mas para um triângulo amoroso havia notavelmente pouca química para falar entre qualquer um. A música era irritantemente a qualidade do filme da semana, e a narração estridente e totalmente desnecessária. Claramente o trabalho de um diretor de primeira viagem com um orçamento pequeno que ou não tinha ou não prestava bastante atenção a bons conselhos. Que pena. Eu posso apreciar como as pessoas que você odeia no começo são aquelas que você gosta no final, e vice-versa, então existe algum tipo de personagem, pelo menos em termos de percepção. Por exemplo, a personagem de Watson, embora refrescantemente honesta para o marido sobre seus sentimentos por outro homem, começou a me irritar no final, particularmente quando anunciou ao marido que simplesmente não tinha absolutamente nenhum controle sobre suas ações e, mais tarde, quando simplesmente declarou que voltaria a seu apartamento civil, sem pedir permissão, sem pedir desculpas. E eu passei de não gostar de Wilkinsons control freak / moral relativist character para o entender e não querer que ele mudasse ao contrário de sua esposa.Este filme desajeitadamente transformou-se de um whodunit para um drama de doença ""Love Story"" ou ""Steel Magnolias"" sem suficientemente me informando do fato, então fiquei distraidamente adivinhando qual seria a próxima reviravolta na trama depois de todos terem sido revelados. Era o Senhor dirigindo o carro? O cão dos lordes? A cena em que o Senhor visita Wilkinson e conta como o bravo Watson é, a melhor enfermeira que qualquer namorado que morre poderia pedir, Florence Nightingale encarnada, etc., estava bem até começar a soluçar como um bebê. Bom Deus! Se você me perguntar, ela é apenas mais uma pessoa rica e enlouquecida com muito tempo em suas mãos, e por isso ela dirige seu trabalho árduo, proporcionando ao cônjuge uma loucura desnecessária. Ela transando era apenas outra maneira de ocupar sua vida vazia; a coisa moribunda era um bônus adicional para ela, pois de alguma forma ela tornava suas ações anteriores completamente acima de qualquer reprovação. Olha, todo mundo teria ficado melhor se Wilkinson tivesse acabado de deixá-la por sua secretária, que parecia apreciá-lo por quem ele era. Em vez disso, ele agiu como um cão abusado, seu desejo de abrir o afeto da esposa aumentando a cada pontapé que ela lhe dá. Eu não sou anti PC ou qualquer coisa, só não soou verdadeiro, mesmo depois de levar em conta todas as duras realidades da meia-idade, todos nós tendemos a enfrentar. O final para mim foi e não a intenção dos diretores, estou certo de deprimente. O filme passou os últimos 80 minutos me convencendo de que essas duas pessoas simplesmente não pertencem a elas, então não encontrei nenhuma alegria na promessa de seu relacionamento continuar. Eu não estou acima de querer minhas emoções manipuladas por uma história, isso só tem que ser um pouco plausível e não banal. Isso é pedir demais? Minha pontuação: 4/10"
24;"Claro, a maioria dos filmes de terror da década de 1980 não valeu a pena que eles foram filmados, mas esse pesadelo em vídeo pode muito bem ser o mais tedioso produzido. Seis garotos que fumam maconha decidem ir acampar. Claro, e você já sabe disso, eles começam a ser mortos um por um por um estranho. O clímax tem um guarda-florestal bonitão tentando acompanhar os adolescentes a tempo, antes que a última garota fofa se torne buzzardbait. John Carl Buechler, meu cara favorito de filme B, fez os péssimos efeitos aqui. O elenco conta com Carel Struycken, de ""The Witches of Eastwick"" e os filmes da família Addams. Infelizmente, ele não aparece até o final do filme, e é coberto por maquiagem queimada, tornando-o irreconhecível. Steve Bond não se lembra dele? está aqui em um papel adiantado como uma vítima. A direção das bordas, e o roteiro que cowrote, ambos cheiram como os ursos marrons atuais saem na floresta. Ele acompanha o filme com tantas filmagens de animais selvagens, eu pensei que eu acidentalmente aluguei um episódio especial de Mutual of Omahas Wild Kingdom. Grande parte do thecast senta-se ao redor da fogueira e come, depois anda, senta e come novamente. O guarda florestal está envolvido na cena mais estranha que já fez um filme de terror: ele conta uma piada sobre um sapo de boca larga para um cervo abadre. Jackie Coogan, que deve ter esquecido que trabalhou uma vez com as lendas do cinema mudo, tem duas cenas, e está envolvido na segunda cena mais estranha já feita em um filme de terror: ele e o bonitão florestal conversam sobre sanduíches de queijo e pepino com pão de aveia ... sim. Não há um minuto de suspense aqui. O assassino, um sobrevivente do incêndio florestal à procura de um companheiro, observa os alunos de trás das árvores. Sabemos que é o assassino porque os cineastas tiveram um efeito de batimento cardíaco que serve para despertar o espectador a cada poucos minutos. Pule esta pilha de seiva de pinho e alugue o ""Halloween"", em vez disso.Este é classificado como R por violência física, violência moderada, violência, algumas palavrões, nudez breve, conteúdo sexual moderado, referências sexuais e abuso de drogas."
25;"Eu acho que teria sido um título mais apropriado para este filme, já que ele está repleto de cenas de vários insetos e animais. Eu encontrei recentemente a presa em sua forma original de caixa grande VHS e estava muito animado. Eu adoro encontrar filmes de terror em VHS porque a capa é fantástica. Normalmente, no entanto, o filme em si é menos que fantástico. A presa é um desses filmes. Para ser justo, tudo começou bem, com o assassino perseguindo os adolescentes clichê na floresta. Os sons de batimentos cardíacos usados ​​são um ótimo efeito que deixa você tenso enquanto assiste. Este filme é basicamente um grande clichê gordo, e quando a seção de ""histórias de fogueira"" entra, o filme toma uma nova direção e gasta quase metade do tempo de corrida na história do assassino. Eu realmente pensei que esta era uma ideia bastante original. No entanto, a história de fundo termina abruptamente e nos mostra algumas cenas de estoque de uma floresta em chamas, a falta de orçamento realmente começa a mostrar agora. Depois disso, somos devolvidos aos adolescentes burros sendo apanhados na floresta. O assassino não é mostrado até o final, o que é uma pena, porque ele realmente faz um assassino eficaz. Mais ou menos como Cropsy from The Burning, mas melhor. Quanto ao sangue, não há muito, embora haja um momento de esmagamento da face OK no final. No geral, eu não recomendaria esse filme para ninguém além de especialistas em slasher - é realmente uma grande bagunça."
26;"1980 foi certamente um ano para maus filmes de terror. ""Friday The 13th"" e ""The Burning"" podem ter sido os melhores, mas sempre houve alguns fãs que não ficaram muito atrás, como ""Dont Go Into The Woods Alone"" e esse. Mas com toda a justiça ""The Prey"" está longe de ser tão ruim quanto ""Não vá para o bosque"", mas ainda não é grande. Uma coisa é que é apenas chato e agindo não é muito bom, mas muito melhor do que ""DGITW"" e este filme realmente tem algumas mulheres atraentes olhar para, todos os três clientes do sexo feminino foram impressionantes. Uma coisa, o que está acontecendo com toda aquela insensata vida selvagem, parecia inútil e parecia que o diretor usava isso para usar isso para preencher um espaço de tempo. Então, o que havia para gostar desse filme? Bem, houve algumas gargalhadas em momentos de queijo - eu não pude conter um ataque de risos quando a garota final fez um tipo bizarro de caminhar pela lua para se afastar do kille e havia algumas boas cenas de matança - minhas favoritas sendo a garota sufocou até a morte com o saco de dormir; e o olhar falso.Em tudo, The Prey é burro, chato e assassino que eu não achei assustador, esse filme poderia ter sido muito melhor."
27;Tudo o que todo mundo já disse é verdade quando se trata de The Prey. Filmagens da natureza sem fim, atuação ruim - Além desses elementos, este é um filme assistível para fãs de slasher que, em alguns casos, é considerado um clássico cult. Jackson Bostwick e Jackie Coogan jogam muito bem um com o outro. Há também um solo de banjo de três minutos que mostra a habilidade de Bostwicks por trás do instrumento. Não é muito ruim se eu disser isso mesmo. Os últimos dez minutos do filme são sua graça salvadora. O final ainda me persegue até hoje. Isso também pode durar um pouco mais, já que um dos primeiros John Carl Bucheler faz os efeitos especiais. Alguns podem conhecê-lo de filmes como Troll e sexta-feira 13 parte 7 - Ele dirigiu ambos os filmes Apesar de tudo, este não é um filme todo mundo vai encontrar algo redentora dentro De fato, em um nível de Hollywood, isso pode classificar lá em cima com uma das empresas mais amadores esforços, mas para aquele punhado ainda muito leal de fãs de filmes de terror no mundo, até mesmo a má atuação e imagens de natureza atroz podem ser perdoados.
